,NITROGEN SHARE IN NPK (Percent),PHOSPHATE SHARE IN NPK (Percent),POTASH SHARE IN NPK (Percent),LENGTH OF GROWING PERIOD DAYS (Number),TOTAL AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),ANNUAL RAINFALL (Millimeters),crop_name,crop_yield
2478,57.71,35.56,6.73,194.0,609.87,924.17,184.16,1109.4499999999998,WHEAT YIELD (Kg per ha),3797.05
2479,53.5,39.41,7.09,194.0,609.87,961.57,190.35,1109.4499999999998,WHEAT YIELD (Kg per ha),4242.02
2480,50.86,38.89,10.25,190.0,945.37,848.03,154.45,929.5,WHEAT YIELD (Kg per ha),2239.83
2481,51.56,42.78,5.66,190.0,945.37,892.0,163.55,929.5,WHEAT YIELD (Kg per ha),3004.54
2482,58.12,37.18,4.7,190.0,945.37,903.75,167.21,904.4,WHEAT YIELD (Kg per ha),4042.53
2483,62.92,32.23,4.85,190.0,945.37,937.07,173.39,1110.6,WHEAT YIELD (Kg per ha),4036.99
2484,61.98,31.32,6.7,190.0,945.37,929.05,171.77,802.3,WHEAT YIELD (Kg per ha),3699.35
2485,61.3,29.94,8.75,190.0,945.37,907.8,168.03,900.7,WHEAT YIELD (Kg per ha),3571.43
2486,61.57,28.71,9.71,190.0,945.36,932.1,172.59,929.5,WHEAT YIELD (Kg per ha),3959.18
2487,61.54,29.14,9.32,190.0,945.36,956.85,177.37,929.5,WHEAT YIELD (Kg per ha),4139.86
2488,46.22,43.58,10.2,210.0,701.31,689.52,175.54,1139.65,WHEAT YIELD (Kg per ha),1802.62
2489,52.08,43.51,4.41,210.0,701.31,690.53,175.3,1139.65,WHEAT YIELD (Kg per ha),2678.57
2490,51.65,42.85,5.5,210.0,701.31,705.3,177.33,1202.5,WHEAT YIELD (Kg per ha),3249.09
2491,59.24,36.8,3.96,210.0,701.31,728.42,182.39,1413.3,WHEAT YIELD (Kg per ha),2299.47
2492,58.85,36.63,4.52,210.0,701.31,736.49,182.94,684.9,WHEAT YIELD (Kg per ha),3337.84
2493,58.01,35.65,6.33,210.0,701.31,735.65,181.76,1257.9,WHEAT YIELD (Kg per ha),4095.74
2494,59.26,32.61,8.13,210.0,701.31,752.63,185.97,1139.65,WHEAT YIELD (Kg per ha),3693.18
2495,59.14,33.39,7.48,210.0,701.31,768.8,189.68,1139.65,WHEAT YIELD (Kg per ha),4100.02
2496,56.39,36.05,7.56,178.0,819.54,788.16,157.27,953.475,WHEAT YIELD (Kg per ha),2349.74
2497,56.2,39.29,4.51,178.0,819.54,769.7,153.75,953.475,WHEAT YIELD (Kg per ha),2442.09
2498,58.39,36.96,4.65,178.0,819.54,781.41,155.86,759.4,WHEAT YIELD (Kg per ha),3289.75
2499,63.38,32.86,3.76,178.0,819.54,818.26,163.03,1296.7,WHEAT YIELD (Kg per ha),2500.54
2500,59.53,34.64,5.82,178.0,819.54,810.48,161.58,736.2,WHEAT YIELD (Kg per ha),3941.8
2501,63.04,31.86,5.09,178.0,819.54,817.88,163.0,1021.6,WHEAT YIELD (Kg per ha),3004.76
2502,61.35,31.12,7.53,178.0,819.54,831.96,166.33,953.475,WHEAT YIELD (Kg per ha),3337.78
2503,62.42,30.61,6.97,178.0,819.54,848.98,169.96,953.475,WHEAT YIELD (Kg per ha),3482.98
2504,75.03,21.87,3.09,170.0,675.72,438.07,121.59,969.0500000000001,WHEAT YIELD (Kg per ha),1860.79
2505,71.07,27.08,1.85,170.0,675.72,440.07,122.06,969.0500000000001,WHEAT YIELD (Kg per ha),2038.05
2506,72.11,26.32,1.57,170.0,675.72,455.05,126.15,1014.0,WHEAT YIELD (Kg per ha),2853.43
2507,79.46,19.57,0.97,170.0,675.72,467.18,129.59,1292.9,WHEAT YIELD (Kg per ha),2710.79
2508,75.13,21.54,3.33,170.0,675.72,464.44,128.52,793.2,WHEAT YIELD (Kg per ha),3040.54
2509,75.07,22.28,2.65,170.0,675.72,449.15,124.32,776.1,WHEAT YIELD (Kg per ha),3070.18
